id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
4546,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011.0,Sports,Nike Men's Air Max Black Shoe
18174,Girls,Apparel,Dress,Dresses,Lavender,Fall,2011.0,Casual,Doodle Kids Girls Party Frock Lavender Dress
41722,Women,Footwear,Shoes,Heels,Teal,Winter,2012.0,Casual,Catwalk Women Teal Heels
7683,Men,Apparel,Topwear,Jackets,Black,Fall,2011.0,Sports,Puma Men Windbreaker Black Ferrari Jacket
33997,Women,Apparel,Dress,Dresses,Purple,Summer,2012.0,Casual,Femella Women Purple & Black Dress
4855,Unisex,Footwear,Shoes,Casual Shoes,Pink,Summer,2012.0,Casual,Newfeel Unisex Pink Grey Shoes
39583,Women,Footwear,Shoes,Heels,Red,Summer,2016.0,Casual,Catwalk Women Red Flats
19519,Men,Apparel,Topwear,Sweaters,Black,Fall,2011.0,Casual,United Colors of Benetton Men Stripes Black Sweater
40431,Women,Apparel,Dress,Dresses,Navy Blue,Summer,2012.0,Casual,Tonga Women Navy Blue Dress
39795,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,Peter England Men Black Formal Trousers
2715,Girls,Apparel,Topwear,Tops,Orange,Summer,2011.0,Casual,Disney Kids Girl's Minnie Orange Stripped Kidswear
17249,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,U.S. Polo Assn. Men Printed Limoges Blue Tshirt
36841,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012.0,Casual,Spykar Women Renegade Navy Blue Jeans
4973,Men,Apparel,Topwear,Shirts,Yellow,Summer,2011.0,Casual,Gini and Jony Boy's Kangaroo Yellow Kidswear
40449,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2018.0,Formal,Red Tape Men Brown Formal Shoes
14498,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Flying Machine Men Casual Black Casual Shoes
29276,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Wrangler Women Star Blue Top
32849,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,Grendha Women Roamance Brown Flats
48497,Women,Apparel,Bottomwear,Trousers,Black,Winter,2011.0,Casual,French Connection Women Black Trousers
43654,Women,Apparel,Topwear,Tops,Cream,Summer,2012.0,Casual,ONLY Women Cream Printed Top
28817,Men,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Denizen Men Black Jeans
50784,Women,Footwear,Shoes,Heels,Cream,Fall,2013.0,Casual,Clarks Women Cream Coloured Onslow Beat Leather Wedges
56927,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,HM Women Black Flats
11384,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,United Colors of Benetton Men White & Red Check Shirt
51436,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Myntra Women White & Pink Top
7782,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Urban Yoga Men's Abhayas Black Track Pant
12360,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Formal,Reid & Taylor Men Solid Black Shirts
46908,Men,Apparel,Bottomwear,Jeans,White,Summer,2012.0,Casual,Peter England Men White Jeans
39805,Men,Apparel,Bottomwear,Trousers,Black,Spring,2013.0,Formal,Peter England Men Black Formal Trousers
16513,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans
22350,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,John Players Men Check Blue Shirt
2245,Women,Apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,ADIDAS Women White Polo T-shirt
13395,Men,Apparel,Topwear,Shirts,Purple,Summer,2011.0,Casual,United Colors of Benetton Men Check Purple Shirts
8970,Men,Footwear,Shoes,Sports Shoes,Red,Fall,2011.0,Sports,Puma Men 65cc Ducati Red Sports Shoes
15497,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Formal,Carlton London Women Casual Black Heels
43310,Women,Apparel,Bottomwear,Shorts,Pink,Summer,2012.0,Casual,United Colors of Benetton Womens Pink Shorts
3309,Men,Footwear,Shoes,Sports Shoes,White,Spring,2012.0,Sports,Asics Men's Gel Challenger 8 Tennis White Blue Shoe
34070,Women,Footwear,Shoes,Flats,Black,Summer,2015.0,Casual,Clarks Women Black Leather Ballerinas
9685,Men,Apparel,Bottomwear,Shorts,White,Fall,2011.0,Casual,ADIDAS Men Cress 3s3 4 Pan White Capris
17612,Girls,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Doodle Cute Girls  Grey Tshirt
8978,Women,Footwear,Shoes,Casual Shoes,Purple,Fall,2011.0,Casual,Puma Women Saba Ballet DC3 Purple Casual Shoes
4623,Women,Apparel,Topwear,Tops,Blue,Summer,2011.0,Casual,Jealous 21 Women Knit Teal Blue Top
13356,Women,Footwear,Shoes,Casual Shoes,Silver,Fall,2011.0,Casual,Timberland Women Femmes Silver Casual Shoes
43916,Women,Apparel,Bottomwear,Shorts,Yellow,Summer,2012.0,Casual,Femella Women Yellow Shorts
20771,Women,Footwear,Shoes,Flats,Silver,Fall,2011.0,Casual,Carlton London Women Funky Silver Sandals
38540,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2012.0,Casual,Puma Men Red California Shoes
27019,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Light Blue Jeans
2940,Women,Apparel,Topwear,Tops,Maroon,Fall,2010.0,Casual,DUSG Women Peacock Ladies Organic Cotton Top
19726,Women,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,United Colors of Benetton Women Solid Black Shirt
44629,Men,Apparel,Bottomwear,Track Pants,Black,Summer,2012.0,Sports,Nike Men Black Running Track Pants
48463,Women,Apparel,Dress,Dresses,Teal,Summer,2012.0,Casual,French Connection Teal & Brown Printed Dress
23814,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Puma Men Neo Low Black Casual Shoes
17762,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011.0,Formal,Buckaroo Men Ortiz Black Formal Shoe
40385,Women,Apparel,Topwear,Tops,Yellow,Summer,2012.0,Casual,Tokyo Talkies Women Yellow Top
21034,Women,Footwear,Shoes,Flats,Gold,Fall,2012.0,Casual,Clarks Women Arizona Sands2 Gold Shoe
33087,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Brown Flats
22539,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,Inc.5  Women Grey Flats
57049,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,Elle Women Black A-Line Dress
36138,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Zoom Hyperenforcer White Sports Shoes
58726,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt
12539,Women,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Tantra Women Black Printed T-shirt
8188,Men,Apparel,Topwear,Shirts,Purple,Summer,2011.0,Casual,Locomotive Men Solid Poplin Laidley Purple Shirts
44803,Women,Apparel,Topwear,Tops,Grey,Summer,2012.0,Casual,Spykar Women Grey T-shirt
59106,Men,Apparel,Topwear,Jackets,Black,Winter,2018.0,Casual,Just Natural Men Black Jacket
17481,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Enroute Men Formal Black Formal Shoe
4848,Men,Apparel,Topwear,Jackets,Navy Blue,Summer,2011.0,Sports,ADIDAS Men Revo Navy White Jacket
1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Puma Men's Jiyu Slip On Sneaker
29178,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Washed Blue Jeans
30411,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Deni Yo Men Slim Fit Washed Blue Jeans
42256,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,John Players Men Blue Jeans
10259,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Formal,John Miller Men Reglur Black Trousers
19956,Men,Apparel,Topwear,Sweaters,Green,Spring,2013.0,Casual,United Colors of Benetton Men Green Sweater
32634,Women,Apparel,Bottomwear,Track Pants,Grey,Summer,2012.0,Sports,Nike Women Legend Slim Poly Grey Track Pants
39749,Boys,Apparel,Bottomwear,Shorts,Beige,Summer,2012.0,Casual,Gini Jony Boys Beige Shorts
59897,Women,Apparel,Dress,Dresses,Yellow,Fall,2012.0,Casual,Femella Women Yellow Dress
3566,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Men's White Silver Running Shoe
8833,Men,Apparel,Topwear,Sweaters,Black,Fall,2011.0,Casual,Spykar Men Rts Vneck Black Black Sweaters
8325,Boys,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear
10500,Women,Apparel,Dress,Dresses,Navy Blue,Fall,2011.0,Casual,Flying Machine Women OS Blue Tops
52131,Girls,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,Doodle Girls Blue Printed Dress
24543,Women,Apparel,Topwear,Tops,Beige,Fall,2011.0,Ethnic,Mother Earth Women Beige Printed Top
15332,Men,Apparel,Bottomwear,Track Pants,Off White,Fall,2011.0,Sports,Nike Men Solid Off-White Track Pants
10637,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2014.0,Formal,Carlton London Men Formal Black Formal Shoes
26863,Women,Apparel,Bottomwear,Skirts,Navy Blue,Summer,2012.0,Casual,Jealous 21 Women Navy Blue Skirts
17011,Women,Footwear,Shoes,Flats,Silver,Winter,2012.0,Casual,Rocia Women Brown Heels
58512,Women,Apparel,Topwear,Tops,Cream,Summer,2012.0,Casual,Tonga Women Printed Black Top
59876,Women,Apparel,Dress,Dresses,Multi,Fall,2012.0,Casual,Femella Women Black Printed Dress
3559,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2015.0,Casual,Skechers Men's Casual Brown Lifestyle Shoe
57062,Women,Apparel,Topwear,Jackets,Blue,Summer,2012.0,Casual,Elle Women Blue Jacket
14092,Women,Apparel,Topwear,Sweaters,Green,Fall,2011.0,Casual,Flying Machine Women Stripes Green Sweaters
6752,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men's Air Zoom Yorker White Shoe
53753,Men,Apparel,Bottomwear,Shorts,Red,Summer,2012.0,Casual,ADIDAS Men Red Shorts
41770,Women,Apparel,Dress,Dresses,Pink,Summer,2012.0,Casual,Remanika Women Printed Pink Dress
19241,Men,Apparel,Topwear,Jackets,Black,Fall,2010.0,Casual,Puma Men Lifestyle Track Black Jacket
2112,Women,Apparel,Bottomwear,Track Pants,Black,Fall,2010.0,Sports,ADIDAS Women's Essential Black Capris
24924,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Blue Top
27197,Women,Apparel,Dress,Dresses,Pink,Summer,2012.0,Casual,Doodle Kids Girl Pink Dress
15287,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Fila Men Set IV White Sports Shoes
17190,Men,Apparel,Topwear,Shirts,Navy Blue,Winter,2016.0,Casual,U.S. Polo Assn. Men Checks Navy Blue Shirt
22314,Women,Apparel,Topwear,Jackets,Black,Fall,2011.0,Casual,Wildcraft Women Solid Black Jacket
16391,Men,Apparel,Bottomwear,Trousers,Black,Spring,2013.0,Formal,Peter England Men Solid Black Trouser
27610,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012.0,Casual,Scullers Men Grey Trousers
17947,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2011.0,Sports,Puma Men No. 1 logo Blue Track Pant
11296,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Wrangler Men Blue Custom Jeans
24070,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Heels
7398,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2018.0,Formal,Red Tape Men Brown Shoes
44930,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jack & Jones Men Blue Jeans
13042,Women,Footwear,Shoes,Flats,Brown,Winter,2012.0,Casual,Inc 5 Women Brown Heels
7767,Men,Apparel,Bottomwear,Track Pants,Black,Summer,2011.0,Sports,Nike Men's As Vapor Wove Black Track Pants
58001,Women,Apparel,Dress,Dresses,Black,Fall,2012.0,Casual,Latin Quarters Women Black Printed Dress
56402,Women,Footwear,Shoes,Flats,Beige,Winter,2012.0,Casual,Rocia Women Beige & Gold Sandals
6626,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2011.0,Sports,ADIDAS Men's Canon Dialect Blue Yellow Shoe
40128,Girls,Apparel,Topwear,Tops,Orange,Summer,2012.0,Casual,Gini and Jony Girls Roseatte Orange Top
35363,Women,Footwear,Shoes,Heels,Multi,Winter,2012.0,Casual,Senorita Women Multi Coloured Flats
48083,Women,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,French Connection Women Blue Dress
15321,Men,Apparel,Topwear,Jackets,Black,Fall,2011.0,Casual,Nike Men Solid Black Jackets
21083,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012.0,Smart Casual,Clarks Men Black Leather Semiformal Shoes
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men White Corona Sports Shoes
38504,Girls,Apparel,Bottomwear,Skirts,Navy Blue,Summer,2012.0,Casual,Gini and Jony Girls Navy Blue Skirts
19789,Men,Apparel,Topwear,Tshirts,Orange,Winter,2016.0,Casual,U.S. Polo Assn. Men Solid Orange Tshirt
44921,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Puma Men Blue Shorts
16360,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Peter England Men Stripes Purple Shirt
57032,Women,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Forever New Women Black Top
9832,Women,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Little Miss Women Printed Rust T-shirt
39255,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Chief Men Black Formal Shoes
28498,Men,Apparel,Bottomwear,Shorts,Black,Summer,2012.0,Sports,Urban Yoga Men Black Shorts
22392,Women,Apparel,Topwear,Tops,White,Fall,2011.0,Casual,ADIDAS Women Whalf Striper White Top
15645,Men,Apparel,Bottomwear,Shorts,Black,Winter,2014.0,Sports,Nike Black Dri-fit Cotton     Cricket  Shorts
15566,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Brown Heels
13081,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Numero Uno Men White Casual Shoes
26826,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Casual,Highlander Men Black Trousers
29845,Men,Apparel,Bottomwear,Trousers,Khaki,Summer,2012.0,Casual,Basics Men Khaki Trousers
43051,Men,Apparel,Bottomwear,Shorts,White,Summer,2012.0,Sports,Nike Men White FFF Shorts
12677,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Casual,Probase Men Check Grey Trousers
13785,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Formal,Belmonte Men Solid Black Trousers
11722,Men,Apparel,Topwear,Shirts,Red,Summer,2011.0,Casual,Lee Men Check Red Shirts
4549,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Men's Air Dictate White Shoe
46613,Women,Footwear,Shoes,Heels,Grey,Summer,2012.0,Casual,Catwalk Women Multi Coloured Sandals
17291,Men,Apparel,Bottomwear,Trousers,Khaki,Fall,2011.0,Casual,Peter England Elements  Men Trouser
42729,Women,Footwear,Shoes,Flats,Red,Winter,2012.0,Casual,Rocia Women Red & Black Sandals
14117,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Flying Machine Women Washed Blue Jeans
15677,Men,Apparel,Bottomwear,Trousers,Beige,Fall,2011.0,Casual,Highlander Men Classic Chinos Beige Trousers
45364,Women,Footwear,Shoes,Heels,Beige,Summer,2016.0,Casual,Cobblerz Women Beige Sandals
2965,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010.0,Casual,Puma Men's Excurse White Spectrum Blue Shoe
9400,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Nike Men Dual Fusion Black TR II Sports Shoes
48470,Women,Apparel,Dress,Dresses,Teal,Summer,2012.0,Casual,French Connection Teal Dress
11336,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Washed Blue Jeans
9038,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2011.0,Formal,Buckaroo Men Medina Brown Formal Shoes
5927,Women,Footwear,Shoes,Casual Shoes,White,Summer,2011.0,Casual,ADIDAS Women's Vintage Set White Shoe
16057,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Casual,Highlander Men Solid Brown Trouser
15050,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013.0,Formal,Franco Leone Men Black Formal Shoe
10857,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Wrangler Men Rider Striper Polo White T-Shirts
30260,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Casual,Red Tape Men Black Shoes
34856,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Vans Men Classic Slip-On Black Shoes
16516,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans
36418,Women,Footwear,Shoes,Sports Shoes,Pink,Spring,2013.0,Sports,Spinn Women Alliance Pink Sports Shoes
39328,Girls,Apparel,Bottomwear,Shorts,Green,Summer,2012.0,Casual,Gini and Jony Girls Green Shorts
32487,Men,Apparel,Bottomwear,Shorts,Grey Melange,Summer,2012.0,Sports,Proline Grey Melange Shorts
39577,Women,Footwear,Shoes,Heels,Pink,Winter,2015.0,Casual,Catwalk Women Pink Flats
22500,Women,Footwear,Shoes,Casual Shoes,Blue,Winter,2015.0,Casual,Catwalk Women Blue Casual Shoes
23841,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,ADIDAS Men White Snipe Lo Casual Shoes
15672,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Highlander Men High Original Blue Jeans
19516,Men,Apparel,Topwear,Sweaters,Black,Fall,2011.0,Casual,United Colors of Benetton Men Black  Sweater
35958,Women,Apparel,Bottomwear,Skirts,Black,Summer,2012.0,Casual,Flying Machine Women Viscose Black Skirt
2384,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Men Semi Black Formal Shoes
53228,Men,Apparel,Bottomwear,Trousers,Charcoal,Summer,2012.0,Formal,Mark Taylor Men Charcoal Grey Trousers
43239,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Reebok Men White Swift Sports Shoes
3362,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Myntra Men's Creative designs Black T-shirt
23047,Women,Apparel,Topwear,Sweaters,Charcoal,Fall,2011.0,Casual,Arrow Woman Charcoal Solid Sweater
34090,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Fall,2012.0,Casual,Numero Uno Men Navy Leather Shoes
56930,Women,Footwear,Shoes,Flats,Purple,Winter,2012.0,Casual,HM Women Purple Sandals
7561,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Sports,Nike Men's As Spher White T-shirt
24628,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Arrow Men Black Formal Shoes
2503,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012.0,Casual,Numero Uno Men's Casual Brown Canvas Shoe
20372,Women,Apparel,Bottomwear,Track Pants,Purple,Fall,2011.0,Casual,Urban Yoga Women Solid Purple Track Pants
16330,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Casual,Peter England Men Solid Brown Trouser
28808,Men,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Denizen Men Striped Black Shirt
42020,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,ADIDAS Men Brown Mudslide Shoes
26384,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,Turtle Men Black Trousers
13562,Women,Footwear,Shoes,Heels,Purple,Spring,2013.0,Casual,Carlton London Women Casual Purple Flats
7041,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Numero Uno Black Men's Shoe
10294,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2012.0,Formal,Clarks Men Feeling Good Leather Brown Formal Shoes
10302,Men,Footwear,Shoes,Formal Shoes,Brown,Spring,2012.0,Formal,Clarks Men Leather Brown Formal Shoes
13237,Men,Apparel,Bottomwear,Shorts,Blue,Fall,2011.0,Casual,Palm Tree Kids Boys Washed Blue Shorts
5402,Women,Footwear,Shoes,Sports Shoes,Purple,,2011.0,Sports,Kalenji Ekiden 200 Wn Purple 2011
18536,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Puma Men Commander White Sports Shoes
23932,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Lotto Men White Advantage  Sports Shoes
28499,Men,Apparel,Bottomwear,Track Pants,Black,Summer,2012.0,Sports,Urban Yoga Men Black Track Pants
2379,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Men's Black Formal Shoe
23401,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Spykar Women Jeans
59050,Women,Footwear,Shoes,Heels,Red,Winter,2012.0,Casual,Carlton London Women Red & Black Heels
33993,Women,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Femella Women Black Shirt
6900,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Puma Men's Lifestyle Canvas Blue Shoe
53795,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Black T-shirt
11901,Men,Footwear,Shoes,Formal Shoes,Maroon,Fall,2011.0,Formal,Franco Leone Men Formal Maroon Formal Shoes
39764,Women,Apparel,Bottomwear,Trousers,Navy Blue,Summer,2012.0,Casual,Arrow Woman Navy Blue Trouser
25529,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Casual,Wrangler Men Griffith White Shirt
6243,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,UCB Men's Contrast Logo Olive Green T-shirt
35650,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,U.S. Polo Assn. Men Black Formal Shoes
47453,Women,Footwear,Shoes,Flats,Black,Fall,2012.0,Casual,Tiptopp Women Black Sandals
12530,Women,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Puma Women Stripes Blue Tshirts
10360,Women,Apparel,Dress,Dresses,Black,Fall,2011.0,Casual,United Colors of Benetton Women Black Dress
6882,Women,Apparel,Topwear,Jackets,Cream,Summer,2011.0,Casual,Forever New Women Long Peach Jacket
22125,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Provogue Men Black Formal Shoes
49614,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Brown Heels
43678,Women,Apparel,Dress,Dresses,White,Summer,2012.0,Casual,French Connection Women White Dress
57091,Women,Apparel,Bottomwear,Skirts,Black,Summer,2012.0,Casual,Elle Women Black Skirt
7352,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Tantra Men's Whatever Purple T-shirt
15642,Men,Apparel,Bottomwear,Track Pants,Black,Winter,2014.0,Sports,Nike Black Dri-fit Cotton     Cricket  Track Pants
57108,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Elle Women White Top
26537,Men,Footwear,Shoes,Casual Shoes,Blue,Winter,2015.0,Casual,ID Men Blue Shoes
54128,Women,Footwear,Shoes,Heels,Silver,Winter,2012.0,Casual,Rocia Women Silver Heels
38329,Girls,Apparel,Topwear,Tops,Off White,Summer,2012.0,Casual,Hannah Montana Girls Off White Tops
11498,Women,Footwear,Shoes,Heels,White,Winter,2015.0,Casual,Catwalk Women Lifestyle White Heels
17684,Women,Footwear,Shoes,Casual Shoes,Grey,Winter,2015.0,Casual,Catwalk Women Ballerina Grey Casual Shoe
35826,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Fila Men Cavier White Sports Shoes
57489,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012.0,Formal,Lee Cooper Men Brown Shoes
6448,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2011.0,Casual,Lotto Men's Calcetto Brown Shoe
17898,Men,Apparel,Topwear,Jackets,Grey,Fall,2011.0,Casual,Nike Men Casual Grey Jacket
11503,Women,Footwear,Shoes,Heels,Blue,Spring,2013.0,Casual,Catwalk Women Lifestyle Blue Flats
43421,Men,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012.0,Casual,Spykar Men Navy Blue Jeans
11948,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Ganuchi Men Casual Black Casual Shoes
19728,Women,Apparel,Topwear,Shirts,Purple,Summer,2011.0,Casual,United Colors of Benetton Women Solid Purple Shirt
11013,Women,Apparel,Topwear,Tops,Multi,Fall,2011.0,Casual,Wrangler Women Frill Check Multi Tops
23670,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Spykar Men Green Printed T-shirts
